squadra,nome,id_fantacalcio,status,note
Bologna,Piccoli,,BALLOTTAGGIO,"Alternativa in ballottaggio con Dovbyk. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Cagliari,Caprile,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Cagliari,Ze Pedro,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Cagliari,Mina,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Cagliari,Rodriguez,7268,BALLOTTAGGIO,"Probabile XI; ballottaggio con Kofler. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Cagliari,Obert,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Cagliari,Adopo,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Cagliari,Winks,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Cagliari,Romano,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Prati / Fadera. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Cagliari,Fazzini,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Cagliari,Kevin Carlos,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Cagliari,Maldini,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Mendy. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Cagliari,Kofler,,BALLOTTAGGIO,"Alternativa in ballottaggio con Rodriguez. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Cagliari,Prati,,BALLOTTAGGIO,"Alternativa in ballottaggio con Romano. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Cagliari,Fadera,,BALLOTTAGGIO,"Alternativa in ballottaggio con Romano. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Cagliari,Mendy,,BALLOTTAGGIO,"Alternativa in ballottaggio con Maldini. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Cagliari,Zappa,,RISERVA,"Panchina G1 (40%): alternativa difensiva. Fantacalcio.it probabili G1, agg. 22/08/2026"
Como,Butez,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Como,Couto,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Smolcic. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Como,Chalobah,5641,TITOLARE,"SOS Fanta guida difensori 2026/27: punto fermo del Como, titolare atteso. Fonte utente."
Como,Ramon,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Como,Kaiki,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Valle. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Como,Da Cunha,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Como,Perrone,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Como,Diao,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Rodriguez. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Como,Paz,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Como,Baturina,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Caqueret. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Como,Douvikas,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Como,Smolcic,,BALLOTTAGGIO,"Alternativa in ballottaggio con Couto. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Como,Kempf,,BALLOTTAGGIO,"Alternativa in ballottaggio con Chalobah. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Como,Valle,,BALLOTTAGGIO,"Alternativa in ballottaggio con Kaiki. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Como,Rodriguez,7129,BALLOTTAGGIO,"Alternativa in ballottaggio con Diao. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Como,Caqueret,,BALLOTTAGGIO,"Alternativa in ballottaggio con Baturina. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Fiorentina,De Gea,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Fiorentina,Jimenez,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Joao Mario. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Fiorentina,Dragusin,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Fiorentina,Viery,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Ranieri. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Fiorentina,Valdepenas,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Fiorentina,Ndour,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Mandragora. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Fiorentina,Oulai,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Fagioli. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Fiorentina,Atta,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Fiorentina,Mastantuono,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Fiorentina,Kean,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Fiorentina,Gudmundsson,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Fiorentina,Joao Mario,,BALLOTTAGGIO,"Alternativa in ballottaggio con Jimenez. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Fiorentina,Ranieri,,BALLOTTAGGIO,"Alternativa in ballottaggio con Viery. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Fiorentina,Fagioli,,BALLOTTAGGIO,"Alternativa in ballottaggio con Oulai. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Fiorentina,Mandragora,,BALLOTTAGGIO,"Alternativa in ballottaggio con Ndour. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Fiorentina,Pongracic,,RISERVA,"Panchina G1: alternativa difensiva. Fantacalcio.it probabili G1, agg. 22/08/2026"
Frosinone,Palmisani,6415,BALLOTTAGGIO,"SOS Fanta guida portieri 2026/27: leggermente avanti su Desplanches, gerarchia ancora aperta. Fonte utente."
Frosinone,Oyono A.,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Frosinone,Monterisi,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Frosinone,Calvani,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Akpoguma. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Frosinone,Bracaglia,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Terzic. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Frosinone,Grillitsch,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Frosinone,Calò,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Frosinone,Cichella,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Zerbin. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Frosinone,Ghedjemis,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Frosinone,Raimondo,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Frosinone,Schmid,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Frosinone,Akpoguma,,BALLOTTAGGIO,"Alternativa in ballottaggio con Calvani. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Frosinone,Terzic,,BALLOTTAGGIO,"Alternativa in ballottaggio con Bracaglia. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Frosinone,Zerbin,,BALLOTTAGGIO,"Alternativa in ballottaggio con Cichella. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Frosinone,Kvernadze,,BALLOTTAGGIO,"Nella XI indicata per G1; non nella XI pre-campionato. Fantacalcio.it probabili G1, agg. 22/08/2026"
Frosinone,Masini,,RISERVA,"Panchina G1 (55%): alternativa di centrocampo. Fantacalcio.it probabili G1, agg. 22/08/2026"
Genoa,Bijlow,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Genoa,Marcandalli,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Genoa,Ostigard,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Genoa,Vasquez,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Genoa,Norton-Cuffy,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Genoa,Frendrup,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Genoa,Sow,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Amorim. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Genoa,Ellertsson,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Mitaj. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Genoa,Baldanzi,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Traoré. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Genoa,Vitinha,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Meichtry. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Genoa,Colombo,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Genoa,Mitaj,7537,TITOLARE,"SOS Fanta guida difensori 2026/27: titolare atteso a sinistra. Fonte utente."
Genoa,Amorim,,BALLOTTAGGIO,"Alternativa in ballottaggio con Sow. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Genoa,Traoré,2857,BALLOTTAGGIO,"Alternativa in ballottaggio con Baldanzi. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Genoa,Meichtry,,BALLOTTAGGIO,"Alternativa in ballottaggio con Vitinha. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Genoa,Martin,,RISERVA,"Panchina G1 (50%): alternativa sulla fascia. Fantacalcio.it probabili G1, agg. 22/08/2026"
Inter,Josep Martinez,5116,TITOLARE,"SOS Fanta guida portieri 2026/27: titolare designato, Provedel copertura consigliata. Fonte utente."
Inter,Akanji,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Inter,Stones,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Bisseck. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Inter,Bastoni,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Inter,Spence,5982,TITOLARE,"SOS Fanta guida difensori 2026/27: titolare previsto sulla fascia destra. Fonte utente."
Inter,Barella,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Inter,Calhanoglu,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Inter,Jones,5172,TITOLARE,"SOS Fanta guida centrocampisti 2026/27: progetto da titolare accanto a Barella e Calhanoglu, con rotazioni. Fonte utente."
Inter,Dimarco,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Inter,Thuram,4871,TITOLARE,"SOS Fanta guida attaccanti 2026/27: attaccante titolare, Pio Esposito terza punta. Fonte utente."
Inter,Lautaro Martinez,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Inter,Bisseck,,BALLOTTAGGIO,"Alternativa in ballottaggio con Stones. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Inter,Diouf,,BALLOTTAGGIO,"Alternativa in ballottaggio con Spence. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Inter,Zielinski,,BALLOTTAGGIO,"Alternativa in ballottaggio con Jones. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Inter,Pio Esposito,,BALLOTTAGGIO,"Alternativa in ballottaggio con Thuram. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Inter,Sucic,,RISERVA,"Panchina G1 (60%): prima alternativa di centrocampo. Fantacalcio.it probabili G1, agg. 22/08/2026"
Juventus,Vicario,4964,TITOLARE,"SOS Fanta guida portieri 2026/27: nuovo titolare, Perin vice affidabile. Fonte utente."
Juventus,Kalulu,4976,TITOLARE,"SOS Fanta guida difensori 2026/27: titolare e jolly difensivo di Spalletti. Fonte utente."
Juventus,Bremer,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Juventus,Lucumì,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Kelly. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Juventus,Cambiaso,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Juventus,Locatelli,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Juventus,McKennie,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Thuram. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Juventus,Conceicao,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Juventus,Alajbegovic,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Thuram. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Juventus,Yildiz,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Juventus,Kolo Muani,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Juventus,Kelly,,BALLOTTAGGIO,"Alternativa in ballottaggio con Lucumì. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Juventus,Celik,4657,RISERVA,"SOS Fanta guida difensori 2026/27: alternativa di Kalulu, utile nelle rotazioni. Fonte utente."
Juventus,Thuram,,BALLOTTAGGIO,"Alternativa in ballottaggio con McKennie / Alajbegovic. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Juventus,Koopmeiners,,RISERVA,"Panchina G1 (40%): alternativa di centrocampo. Fantacalcio.it probabili G1, agg. 22/08/2026"
Juventus,David,,RISERVA,"Panchina G1 (55%): alternativa offensiva. Fantacalcio.it probabili G1, agg. 22/08/2026"
Lazio,Mandas,6482,BALLOTTAGGIO,"SOS Fanta guida portieri 2026/27: parte avanti a Motta ma divario ridotto; consigliata coppia. Fonte utente."
Lazio,Marusic,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Lazio,Doekhi,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Lazio,Romagnoli,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Lazio,Pedraza,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Tavares. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Lazio,Taylor,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Lazio,Rovella,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Lazio,Frattesi,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Lazio,Cancellieri,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Isaksen. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Lazio,Dia,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Ratkov. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Lazio,Zaccagni,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Lazio,Tavares,,BALLOTTAGGIO,"Alternativa in ballottaggio con Pedraza. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Lazio,Isaksen,6398,RISERVA,"SOS Fanta guida centrocampisti 2026/27: operato a luglio, rientro atteso tra inizio campionato e settembre. Fonte utente."
Lazio,Ratkov,,BALLOTTAGGIO,"Alternativa in ballottaggio con Dia. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Lazio,Dele-Bashiru,,RISERVA,"Panchina G1 (60%): alternativa di centrocampo. Fantacalcio.it probabili G1, agg. 22/08/2026"
Lazio,Noslin,,RISERVA,"Panchina G1 (60%): alternativa offensiva. Fantacalcio.it probabili G1, agg. 22/08/2026"
Lecce,Falcone,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Lecce,Danilo Veiga,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Lecce,Gaspar,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Siebert. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Lecce,Tiago Gabriel,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Lecce,Gallo,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Lecce,Coulibaly,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Lecce,Ngom,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Gorter. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Lecce,Berisha,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Gandelman. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Lecce,Pierotti,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Lecce,Geubbels,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Stulic. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Lecce,N'Dri,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Lecce,Siebert,,BALLOTTAGGIO,"Alternativa in ballottaggio con Gaspar. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Lecce,Gorter,,BALLOTTAGGIO,"Alternativa in ballottaggio con Ngom. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Lecce,Gandelman,,BALLOTTAGGIO,"Alternativa in ballottaggio con Berisha. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Lecce,Stulic,,BALLOTTAGGIO,"Alternativa in ballottaggio con Geubbels. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Lecce,Maleh,,BALLOTTAGGIO,"Nella XI indicata per G1; alternativa reale in mediana. Fantacalcio.it probabili G1, agg. 22/08/2026"
Milan,Maignan,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Milan,Gila,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Milan,Gabbia,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Milan,Pavlovic,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Milan,Saelemaekers,,BALLOTTAGGIO,"Probabile XI; ballottaggio con Chukwueze. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Milan,Modric,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Milan,Rabiot,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Milan,Moreira,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
Milan,Pulisic,2423,RISERVA,"SOS Fanta guida centrocampisti 2026/27: edema osseo e microfrattura, rischio avvio dalla panchina; titolare al recupero. Fonte utente."
Milan,Leao,,TITOLARE,"Probabile XI senza ballottaggio esplicito. Fantacalcio.it probabili 2026/27, agg. 23/08/2026 09:40"
